APT,NZCH,0,-43.48664,172.53368
FIX,KIDAL,14000,42.85864,172.28600
FIX,UDUMO,34000,41.20481,171.99256
FIX,MOTKO,34000,-39.12419,171.64394
FIX,PAPTI,34000,-35.56533,171.09314
FIX,SALAG,35000,-34.84506,171.68336
FIX,LEBOL,34000,-29.14631,165.21556
FIX,NOGOL,34000,-28.83722,164.86833
FIX,DUBEV,34000,-27.55056,163.45472
FIX,LEMIB,34000,-26.01333,163.45472
FIX,ISTEM,34000,-26.01333,161.82806
FIX,MEPAB,35000,-24.59750,160.3833
FIX,BODEG,35000,-21.38047,163.00000
FIX,IKODA,34000,-20.12667,163.00000
FIX,RIPNA,35000,-16.62333,157.44833
FIX,BISTT,35000,-14.00000,158.41667
FIX,KOPAU,35000,-11.02667,159.46833
FIX,IRRIE,34000,-9.53167,159.60667
FIX,KAKOP,34000,-8.59000,159.48500
FIX,KAKOP,34000,-5.64500,157.66833
FIX,ADBON,34000,-5.65167,157.65000
FIX,OKOLE,34000,0.00000,154.22833
FIX,GALSS,34000,6.06667,150.51667
FIX,KLOUT,35000,10.46167,147.79167
FIX,STINE,34000,12.78167,147.87000
FIX,SNAPP,34000,14.46796,147.63881
FIX,TEEDE,34000,15.85344,146.60578
FIX,TEGOD,34000,17.42306,146.51806
FIX,SAGOP,34000,21.00000,145.19667
FIX,NOGAK,34000,25.00500,144.34000
FIX,ADKAK,30300,30.00333,143.16500
FIX,RENAU,22600,33.90350,142.16331
FIX,SUNNS,18900,34.46783,141.89803
APT,RJAA,0,35.77655,140.38277